"Champion","HeroId","ArtifactId","Slot","PrimaryStat","AscendedStat","AscensionLevel","Rank","Rarity","Level","SetCode"
"Embrys the Anomaly","67253","62624","Shield","DEF","HP","5","5","6","16","47"
"Embrys the Anomaly","67253","79980","Weapon","ATK","ATK","1","6","5","16","47"
"Fenax","55315","72772","Boots","SPD","DEF%","1","6","5","16","29"
"Firrol the Barkhorn","43308","56372","Amulet","C.DMG","HP","5","5","3","16","0"
"Firrol the Barkhorn","43308","41877","Banner","RES","ACC","6","6","4","16","0"
"Firrol the Barkhorn","43308","54875","Gloves","DEF%","DEF%","6","6","5","16","61"
"Firrol the Barkhorn","43308","57424","Ring","ATK","HP","6","6","5","16","0"
"Freyja Fateweaver","35004","46843","Amulet","DEF","DEF","6","6","5","16","61"
"Freyja Fateweaver","35004","47737","Banner","DEF","ACC","6","6","5","16","0"
"Freyja Fateweaver","35004","48557","Boots","SPD","DEF%","5","5","4","16","38"
"Freyja Fateweaver","35004","44362","Chest","HP%","DEF%","5","5","4","16","48"
"Freyja Fateweaver","35004","33272","Gloves","HP%","C.DMG","2","6","4","16","48"
"Freyja Fateweaver","35004","40405","Helmet","HP","ATK","1","6","3","16","47"
"Freyja Fateweaver","35004","47460","Ring","HP","DEF","6","6","5","16","0"
"Freyja Fateweaver","35004","47855","Shield","DEF","ATK","1","5","6","16","47"
"Freyja Fateweaver","35004","29926","Weapon","ATK","ATK","1","6","4","16","38"
"Frozen Banshee","28559","59940","Gloves","HP%","DEF%","1","6","5","16","61"
"Fu-Shan","30200","40652","Amulet","C.DMG","C.DMG","6","6","4","16","0"
"Fu-Shan","30200","35255","Chest","DEF%","HP%","2","6","3","16","38"
"Fu-Shan","30200","21288","Gloves","C.RATE","ATK%","4","5","4","16","60"
"Fylja","63924","28415","Gloves","C.RATE","ATK%","6","6","4","16","38"
"Gala Longbraids","21247","17","Gloves","C.RATE","ATK%","6","6","4","16","57"
"Galleus Bloodcrest","34327","87155","Amulet","C.DMG","HP","1","6","6","16","0"
"Galleus Bloodcrest","34327","27208","Gloves","C.RATE","DEF%","6","6","4","16","38"
"Galleus Bloodcrest","34327","32641","Ring","DEF","HP","1","6","4","16","0"
"Genbo the Dishonored","39086","55092","Amulet","ATK","DEF","2","5","4","16","0"
"Genbo the Dishonored","39086","49585","Gloves","C.DMG","HP%","1","6","4","16","30"
"Geomancer","18270","28521","Amulet","C.DMG","ATK","6","6","3","16","0"
"Geomancer","18270","73634","Gloves","C.DMG","C.DMG","6","6","4","16","38"
"Grizzled Jarl","24532","15109","Gloves","C.DMG","DEF","2","6","3","16","7"
"Hansel Witchhunter","43638","54929","Amulet","C.DMG","C.DMG","5","5","3","16","0"
"Hansel Witchhunter","43638","14045","Gloves","C.DMG","HP","5","5","4","16","11"
"Hansel Witchhunter","43638","61556","Ring","HP","ATK","6","6","3","16","0"
"Heiress","19828","21899","Amulet","C.DMG","HP","2","5","3","16","0"
"Heiress","19828","23950","Ring","ATK","DEF","6","6","4","16","0"
"Inquisitor Shamael","44223","32750","Gloves","C.DMG","DEF%","1","5","5","16","34"
"Kael","29006","95794","Boots","SPD","HP%","1","6","6","16","48"
"Kurzad Deepheart","28825","65527","Gloves","C.RATE","ATK","6","6","4","16","29"
"Luria","62218","45245","Boots","SPD","ATK","5","5","4","16","29"
"Maneater","9145","101752","Amulet","HP","HP","1","6","4","16","0"
"Maneater","9145","83842","Banner","ACC","HP","1","6","4","16","0"
"Maneater","9145","58547","Boots","SPD","SPD","1","5","4","16","38"
"Maneater","9145","105582","Chest","HP%","RES","1","6","4","16","47"
"Maneater","9145","103577","Gloves","C.RATE","HP","1","6","6","16","61"
"Maneater","9145","96757","Helmet","HP","ATK","1","6","6","16","61"
"Maneater","9145","97898","Ring","HP","ATK","1","6","5","16","0"
"Maneater","9145","104650","Shield","DEF","HP","1","6","4","16","38"
"Maneater","9145","100879","Weapon","ATK","DEF","1","6","6","16","61"
"Marius the Gallant","77320","80797","Amulet","DEF","HP","6","6","6","16","0"
"Marius the Gallant","77320","46670","Banner","ACC","ACC","6","6","5","16","0"
"Marius the Gallant","77320","96835","Boots","SPD","HP","6","6","5","16","10"
"Marius the Gallant","77320","85988","Chest","DEF%","DEF%","5","5","5","16","47"
"Marius the Gallant","77320","100808","Gloves","C.DMG","HP%","6","6","5","16","54"
"Marius the Gallant","77320","96761","Helmet","HP","HP","6","6","6","16","61"
"Marius the Gallant","77320","99507","Ring","DEF","DEF","6","6","4","16","0"
"Marius the Gallant","77320","107458","Shield","DEF","DEF","6","6","3","16","54"
"Marius the Gallant","77320","97750","Weapon","ATK","HP","6","6","4","16","35"
"Martyr","13143","73916","Amulet","DEF","C.DMG","6","6","5","16","61"
"Martyr","13143","59572","Chest","DEF%","RES","6","6","5","16","30"
"Michelangelo","64655","82704","Amulet","C.DMG","C.DMG","6","6","5","16","61"
"Michelangelo","64655","84147","Banner","ATK","ACC","1","6","4","16","0"
"Mistrider Daithi","29112","5996","Gloves","C.DMG","C.RATE","4","5","5","16","51"
"Mithrala Lifebane","34283","47773","Amulet","HP","DEF","6","6","4","16","0"
"Mithrala Lifebane","34283","54874","Chest","HP%","HP","6","6","5","16","61"
"Morag Bronzelock","44906","95771","Gloves","C.DMG","C.RATE","1","6","4","16","46"
"Ninja","30504","47615","Amulet","C.DMG","C.DMG","6","6","3","16","0"
"Ninja","30504","40401","Boots","SPD","DEF%","2","6","3","16","19"
"Ninja","30504","38286","Chest","ATK%","HP","2","6","4","16","38"
"Ninja","30504","42140","Gloves","C.RATE","DEF%","2","6","5","16","29"
"Oboro","14284","6593","Boots","SPD","ATK","1","5","4","16","4"
"Pheidi Tealcrest","51060","38065","Chest","DEF%","HP%","5","5","4","16","47"
"Rathalos Blademaster","15837","23137","Amulet","DEF","HP","6","6","4","16","0"
"Rathalos Blademaster","15837","19515","Gloves","C.RATE","ATK","4","5","3","16","57"
"Rathalos Blademaster","15837","17038","Helmet","HP","HP","2","6","4","16","33"
"Roshcard the Tower","10751","61280","Amulet","C.DMG","C.DMG","5","5","3","16","0"
"Ruella","22456","1304","Boots","SPD","ATK","4","5","4","16","4"
"Seer","50035","77903","Gloves","C.DMG","ATK%","6","6","5","16","58"
"Sepulcher Sentinel","61518","86148","Amulet","C.DMG","DEF","1","6","3","16","0"
"Sepulcher Sentinel","61518","78971","Boots","SPD","HP","1","5","5","16","4"
"Sepulcher Sentinel","61518","90809","Gloves","C.DMG","DEF","1","5","4","16","4"
"Skullcrusher","67745","83298","Gloves","C.DMG","C.RATE","5","5","4","16","58"
"Sulfuryion","7611","14","Chest","DEF%","DEF%","6","6","4","16","57"
"Sun Wukong","8573","32630","Amulet","C.DMG","C.DMG","6","6","3","16","0"
"Sun Wukong","8573","19638","Banner","ATK","ATK","6","6","3","16","0"
"Sun Wukong","8573","101152","Boots","ATK%","HP%","1","6","3","16","59"
"Sun Wukong","8573","89145","Chest","ATK%","HP%","1","6","4","16","59"
"Sun Wukong","8573","92780","Gloves","C.RATE","ATK%","6","6","5","16","59"
"Sun Wukong","8573","48324","Helmet","HP","ATK","5","5","4","16","59"
"Sun Wukong","8573","82916","Ring","ATK","ATK","5","5","6","16","0"
"Sun Wukong","8573","89993","Shield","DEF","ATK","6","6","4","16","59"
"Sun Wukong","8573","102634","Weapon","ATK","ATK","6","6","3","16","59"
"Teela Goremane","72720","100892","Amulet","C.DMG","DEF","1","6","6","16","61"
"Thea the Tomb Angel","57791","75469","Boots","SPD","HP%","1","6","4","16","30"
"Tomb Lord","40114","90805","Boots","SPD","SPD","6","6","5","16","4"
"Tomb Lord","40114","41190","Gloves","C.RATE","ATK","6","6","3","16","4"
"Tribune Herakletes","45783","54891","Banner","DEF","DEF","6","6","4","16","0"
"Tribune Herakletes","45783","70267","Gloves","C.DMG","ATK%","1","6","5","16","61"
"Tyrant Ixlimor","67950","71775","Gloves","C.RATE","DEF%","2","6","6","16","38"
"Tyrant Ixlimor","67950","58382","Weapon","ATK","HP","2","5","4","16","47"
"Umbral Enchantress","68479","58518","Gloves","C.DMG","DEF","1","6","5","16","38"
"Urogrim","33060","43471","Banner","HP","HP","6","6","5","16","0"
"Urost the Soulcage","68752","21311","Gloves","DEF%","DEF","6","6","4","16","37"
"Vallaryn the Equalizer","80605","59022","Amulet","HP","C.DMG","5","5","3","16","0"
"Vergis","52062","55498","Boots","SPD","HP","1","6","4","16","38"
"Visix the Unbowed","21446","40502","Amulet","DEF","ATK","1","6","5","16","0"
"Whisper","13319","33552","Gloves","C.RATE","ATK%","6","6","3","16","38"
"Wuzgar","51786","44094","Gloves","C.RATE","C.DMG","5","5","4","16","29"
"Yakarl the Scourge","32118","42773","Amulet","C.DMG","C.DMG","6","6","3","16","0"
"Yakarl the Scourge","32118","66981","Boots","SPD","DEF","1","6","5","16","61"
"Yakarl the Scourge","32118","42856","Gloves","C.RATE","HP%","6","6","4","16","30"
"Yannica","16544","21238","Banner","HP","ACC","2","5","5","16","0"
"Zargala","22994","31218","Gloves","C.RATE","ATK","2","6","5","16","39"
